user_id,month,risk_probability,risk_level,financial_pressure,intervention,intervention_priority,cate,recommendation_status,explanation,model_drivers,intervention_description
4,2026-09-01,0.512699212346704,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.0529829935666357,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
32,2026-09-01,0.5492410336988455,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.1860433614444838,STRONG_SIMULATED_SUPPORT,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
53,2026-09-01,0.504521075,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.294122155142784,STRONG_SIMULATED_SUPPORT,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Review recurring obligations and reduce near-term payment pressure.
58,2026-09-01,0.5067259734009852,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1046174147633126,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
68,2026-09-01,0.7047392701794739,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.1638125756037909,STRONG_SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Protect available cash and preserve a minimum liquidity buffer.
84,2026-09-01,0.7164795853401433,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.120060809346026,STRONG_SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Protect available cash and preserve a minimum liquidity buffer.
92,2026-09-01,0.6867773891326217,HIGH,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.1898592048288256,STRONG_SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Protect available cash and preserve a minimum liquidity buffer.
96,2026-09-01,0.5949031855310978,MODERATE,LIQUIDITY_PRESSURE,LIQUIDITY_PROTECTION,1,-0.069530262779876,SIMULATED_SUPPORT,Cash buffer is below 50% of the reference level. | Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Protect available cash and preserve a minimum liquidity buffer.
115,2026-09-01,0.49111771236102336,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.2525090585991787,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
123,2026-09-01,0.502921129497144,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1502109724354307,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
136,2026-09-01,0.5710580558160376,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0914198189796101,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
169,2026-09-01,0.5681552836560865,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.0030691807145907,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
178,2026-09-01,0.5458240665085309,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1041958894075768,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
195,2026-09-01,0.7430304055067919,HIGH,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,-0.1856935904437841,STRONG_SIMULATED_SUPPORT,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
200,2026-09-01,0.4793573157033798,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.1783974863572388,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
229,2026-09-01,0.5881053698637361,MODERATE,OBLIGATION_PRESSURE,OBLIGATION_MANAGEMENT,3,0.0214725113494464,RULE_BASED_RECOMMENDATION,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The recent balance trajectory is declining.,,Review recurring obligations and reduce near-term payment pressure.
237,2026-09-01,0.6724099883121679,HIGH,STABLE,SAVINGS_REINFORCEMENT,4,-0.2019418404740792,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
260,2026-09-01,0.5485459976632635,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.0350968043108135,MONITOR,Expense pressure is elevated. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
279,2026-09-01,0.5539529625262568,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,0.0815428947650818,MONITOR,Expense pressure is elevated. | Spending is growing faster than the configured threshold. | Spending is above the user's historical baseline. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
318,2026-09-01,0.5068044360202574,MODERATE,STABLE,SAVINGS_REINFORCEMENT,4,-0.2002556574639124,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure. | The assigned intervention has a strong negative estimated CATE in the synthetic experiment.,,Maintain current financial behavior and reinforce savings.
319,2026-09-01,0.0,LOW,STABLE,SAVINGS_REINFORCEMENT,4,0.1196425189783817,MONITOR,Expense pressure is elevated. | Recurring financial obligations contribute to monthly pressure.,,Maintain current financial behavior and reinforce savings.
